MRP,RAM_Size,RAM_Type,Display,Processor,Storage,OS,Brand
36990,8,0,14.0,12,5,0,1
39990,8,0,15.6,12,6,0,1
32990,8,0,15.6,12,6,0,0
49990,8,0,15.6,8,6,0,3
49990,8,0,15.6,13,6,0,0
36990,8,0,14.0,12,5,0,3
38990,8,0,15.6,12,2,0,4
39990,8,0,15.6,13,6,0,10
46990,8,0,14.0,12,5,0,9
44990,16,0,14.0,10,6,0,0
59990,8,0,15.6,8,6,0,3
38705,8,0,15.6,7,6,0,1
32990,8,0,15.6,12,5,0,0
52990,8,0,17.3,8,6,0,0
29990,8,0,15.6,12,5,0,5
196990,16,1,15.6,11,4,0,0
47990,8,0,15.6,13,2,0,0
45990,8,0,15.6,13,6,0,0
47990,8,0,15.6,8,6,0,6
85990,16,0,15.6,9,4,0,0
88990,8,0,13.3,21,5,1,7
40990,8,0,14.0,12,6,0,3
19490,4,2,15.6,17,2,3,1
35590,8,0,15.6,2,6,0,1
65990,8,0,15.6,13,6,0,3
58990,16,0,15.6,13,6,0,5
24990,8,0,15.6,2,5,0,5
47990,8,0,15.6,8,6,0,5
73990,8,0,17.3,9,6,0,0
53490,8,0,15.6,13,6,0,1
150990,16,0,15.6,11,4,0,0
51990,8,0,15.6,13,6,0,1
66990,16,0,14.0,13,6,0,0
194990,16,1,15.6,11,4,0,0
51990,16,0,15.6,8,6,0,5
25990,8,0,14.0,0,5,0,3
35990,8,0,15.6,7,6,0,5
43990,8,0,15.6,13,6,0,0
44990,8,0,15.6,8,6,0,1
64490,8,0,15.6,8,6,0,1
40990,8,0,15.6,12,5,0,0
38990,8,0,14.0,12,6,0,0
58990,8,0,15.6,13,6,0,3
59990,8,0,14.0,14,6,0,9
47990,8,0,15.6,13,6,0,5
37499,8,0,15.6,3,6,0,3
94990,8,0,14.0,11,4,0,0
32990,8,0,15.6,12,6,0,0
23990,4,0,14.0,17,5,0,0
48990,16,0,14.0,8,6,0,3
139990,8,3,13.3,24,6,1,7
89990,16,0,15.6,9,6,0,0
59990,8,0,15.6,8,4,0,0
70990,16,0,15.6,5,6,0,4
22990,8,4,14.0,18,5,0,8
46990,8,0,15.6,8,6,0,3
50990,8,0,15.6,13,2,0,0
28990,8,4,14.0,12,5,0,8
84990,16,0,15.6,15,6,0,6
181990,16,3,14.2,22,6,1,7
109990,16,0,15.6,11,4,0,6
32990,4,4,14.0,25,6,0,11
37990,16,4,14.0,13,6,0,8
139990,8,3,13.6,24,6,1,7
29990,4,0,15.6,12,5,0,1
19490,4,0,14.0,17,6,4,1
73490,8,0,15.6,9,6,0,1
52990,8,0,15.6,8,2,0,0
41890,8,0,15.6,12,6,0,3
30428,8,0,15.6,20,5,0,4
34990,8,0,15.6,12,6,0,5
88990,8,0,13.3,21,5,1,7
65990,8,0,15.6,15,6,0,6
33490,8,0,15.6,12,6,0,0
60990,16,0,14.0,13,6,0,3
59990,16,0,15.6,9,6,0,0
114990,16,0,15.6,15,4,0,6
119990,16,0,16.0,15,4,0,0
42990,8,4,15.6,13,6,0,8
89990,16,5,15.6,13,6,0,0
79990,8,0,15.6,9,6,0,6
70990,8,0,15.6,13,4,0,0
33900,8,0,15.6,12,5,0,1
52990,16,4,15.6,15,6,0,8
124990,16,0,13.3,21,6,1,7
31990,8,0,15.6,12,5,0,10
66990,16,0,15.6,8,6,0,5
89081,16,0,15.6,9,6,0,4
104990,8,0,13.3,21,6,1,7
53490,8,0,15.6,13,6,0,1
45990,8,4,14.0,12,5,0,0
45990,8,0,15.6,12,6,0,0
51990,8,0,15.6,13,6,0,6
75990,16,0,15.6,9,6,0,3
36990,8,0,15.6,12,5,0,1
78800,16,0,14.0,13,6,0,3
29390,8,0,15.6,0,6,0,3
30990,8,4,14.0,12,5,0,8
62490,16,0,15.6,13,6,0,1
89990,16,0,14.0,15,6,0,0
58899,8,0,15.6,13,6,0,3
85990,16,0,15.6,13,6,0,6
33099,8,0,13.78,1,0,0,4
63490,8,0,15.6,13,2,0,1
38990,8,0,14.0,7,6,0,0
67990,8,0,16.1,13,6,0,3
39790,8,0,15.6,12,6,0,3
241990,16,3,16.2,22,4,1,7
104990,8,0,13.3,21,6,1,7
42190,8,0,14.0,2,6,0,4
39990,8,0,14.0,12,6,0,0
99990,16,1,15.6,15,4,0,0
309490,32,3,16.2,23,4,1,7
64990,16,0,15.6,13,2,0,0
85990,16,0,17.3,9,6,0,0
222990,16,3,14.2,22,4,1,7
15990,4,2,14.1,17,4,3,12
45900,8,0,15.6,12,2,0,4
79990,16,4,13.3,15,6,0,0
56990,8,0,14.0,13,6,0,0
34990,8,0,15.6,2,5,0,4
43580,8,0,15.6,12,6,0,4
74990,16,0,13.3,8,6,0,1
37490,8,0,15.6,12,6,0,1
20990,4,4,14.0,18,4,0,8
109990,16,0,15.6,15,6,0,6
71990,16,2,13.3,13,6,0,0
